NU_NUMERO_CONTRATO;DT_DATA_ASSINATURA;NU_VALOR_FINANCIAMENTO;NU_TAXA_JUROS;NU_PRAZO_CARENCIA;NO_NOME_MUTUARIO;NU_CPF;NU_NUMERO_IDENTIDADE;DT_DATA_NASCIMENTO;NO_ESTADO_CIVIL;NO_SEXO;NO_UF;NO_MUNICIPIO;NO_ENDERECO;NU_CEP
112687;28/12/2023;32000.00;45.000;45;ANA ;11113770571;9657955;08/07/1978;solteiro;M;PI;PICOS;TR TRAV PLANALTO 6;65971277
148166;27/10/2023;56000.00;50.000;17;LUCIMARA ;11614700267;2193926;25/10/1991;divorciado;M;RN;PARNAMIRIM;TR TRAVESSA PLANALTO, 6;77323631
126978;17/09/2023;93314.97;45.000;9;ANDERSON ;10120872530;4724135;17/01/1978;solteiro;M;SP;SAO BERNARDO DO CAMPO;R TRAVESSA PALMAS, 0;14420813
178529;10/01/2020;59261.59;45.000;25;JOSE ;10685744905;4304575;24/09/1996;casado;M;SP;FERRAZ DE VASCONCELOS;TR CASA 8;13270284
156841;18/04/2020;86884.50;60.000;37;DANILLO ;12103816602;9564145;02/05/1957;casado;M;RJ;RIO DE JANEIRO;TR TRAVESSA PLANALTO, 0;78825164
120770;26/03/2021;33381.35;50.000;25;SILVIO ;10308737397;4370622;28/05/1989;divorciado;M;PR;CURITIBA;R RUA 6;82388871
173172;24/09/2021;54321.47;50.000;17;ROSENILVA ;11602543621;4191872;11/06/1975;solteiro;F;PA;ANANINDEUA;TR PALMAS, 0;24095486
116118;30/10/2021;20865.53;50.000;22;DJANIRO ;10018654750;3062640;26/10/1980;casado;F;MG;ALFENAS;TR TRAVESSA PLANALTO , 6;51470993
170705;27/07/2020;54940.69;45.000;32;MARILIA ;10514605854;7097435;22/03/1954;solteiro;F;MG;PATOS DE MINAS;TR TRAVESSA PLANALTO, 0;69333170
171931;08/03/2022;21176.47;50.000;19;EDLAMAR ;11092154668;7021169;23/02/1966;solteiro;M;RN;CEARA-MIRIM;TR TRAVESSA PLANALTO 6;30877034
139669;15/03/2023;55932.37;76.600;31;PAULO ;10545324734;1438189;05/02/1971;solteiro;M;SP;CAMPINAS;R RUA 3;60496865
150912;26/03/2023;88943.67;45.000;33;LILIAN ;10816644730;4347432;05/02/1988;vi£vo;M;MG;PEDRO LEOPOLDO;R RUA 3;64756429
156597;14/02/2023;72000.00;45.000;7;CAIO ;11978465790;8081479;17/09/1992;solteiro;M;SP;ARACATUBA;TR TRAVESSA PLANALTO, 0;24413728
178774;25/03/2024;87617.65;60.000;24;KECIA ;10097828246;9594277;06/08/1975;solteiro;F;RS;CANOAS;R RUA SANDRO FIALLA 4;15927339
170855;20/12/2021;64697.00;45.000;26;ELIANA ;11759173122;2665550;27/10/1979;solteiro;F;SP;ARACATUBA;R RUA 1;50561833
129169;21/07/2023;70000.00;50.000;40;CLISCIENE ;11847184104;3232697;17/02/1973;solteiro;M;PR;FAZENDA RIO GRANDE;R RUA 1;58039971
105161;17/01/2020;69750.00;50.000;16;RAYANA ;11239384066;7441595;07/02/1968;solteiro;F;MG;MANTENA;TR RUA PALOTINA, 0;30578100
101812;08/01/2024;54248.42;50.000;15;YURI ;10372958317;4294736;27/12/1998;solteiro;F;SP;SOROCABA;TR TRAVESSA PLANALTO, 6;69375548
170581;16/02/2023;53914.60;45.000;2;JOSE ;11760331271;3230861;24/09/1993;solteiro;M;RS;ERECHIM;TR TRAVESSA PLANALTO, 6;30900577
159064;06/03/2021;62629.00;50.000;0;HUGO ;11265010998;2611278;21/09/1986;solteiro;M;AL;ARAPIRACA;R AVENIDA SAO PAULO, 0;70315356
191118;15/06/2023;31000.00;50.000;24;ERBERT ;10386066687;2605654;23/11/1982;solteiro;M;GO;GOIAS;TR TRAV PLANALTO  6;86320557
128643;16/03/2020;78090.35;50.000;9;IGOR ;10876840655;3842725;30/10/1988;solteiro;F;GO;GOIANIA;TR TRAVESSA PLANALTO, 0;39976074
150949;27/05/2024;67377.00;45.000;21;PEDRO ;11267638884;9405507;29/06/1958;divorciado;M;SP;ARARAS;MUN RUA LEUCENA N 7;59188361
106227;28/05/2021;69503.77;45.000;18;VIVIANNE ;10607022507;1621505;11/09/1989;solteiro;F;RS;SAO LEOPOLDO;TR TRAVESSA PLANALTO, 6;86517020
173111;29/07/2020;54579.00;50.000;29;ALANNA ;10796462826;4204243;18/07/1992;casado;M;SE;TOBIAS BARRETO;R RUA MARANHAO, 0;73165724
142130;25/01/2023;99200.00;55.000;7;ISLEIDE ;10937439423;7927014;26/02/1991;solteiro;F;SC;CHAPECO;TR TRAVESSA PLANALTO, 0;59466648
133163;15/09/2021;71448.00;45.000;1;GLAUCIA ;11984169959;3428559;28/03/1983;solteiro;F;GO;APARECIDA DE GOIANIA;R RUA SALOMAO MIGUEL NASSER, 0;62306362
144526;02/12/2022;59416.88;50.000;8;ANA ;10733114743;1154494;10/04/1997;solteiro;M;SC;JAGUARUNA;TR RUA PALMAS 1;86073178
175612;06/09/2022;23262.42;50.000;45;ANDREA ;10442323043;6194349;18/10/1952;casado;M;PI;PARNAIBA;TR TRAVESSA PLANALTO, 0;95833731
149483;28/12/2021;69850.45;45.000;35;LEILA ;11195918300;2562136;15/08/1969;divorciado;M;RS;ERECHIM;TR TRAVESSA PLANALTO, 0;16815185
155973;16/11/2020;58043.00;45.000;34;ROGERS ;11395873588;9918739;05/04/1957;divorciado;M;MG;BANDEIRA DO SUL;R RUA 6;16373981
150584;11/08/2021;74314.00;50.000;39;DELANO ;11013835630;6723978;25/01/1974;divorciado;F;MT;SINOP;R RUA 6;58748261
186401;30/04/2021;50964.52;45.000;50;SIDIMAR ;11436000931;2920657;18/02/1957;solteiro;M;PR;CHOPINZINHO;R RUA 6;82451391
193906;25/12/2023;49080.80;45.000;19;GENILTON ;11422236164;4950927;06/10/1983;solteiro;F;PR;PATO BRANCO;TR RUA PALMAS, 0;66290485
120298;04/03/2022;57745.21;45.000;29;ALLINE ;10745823011;5512751;13/04/1973;solteiro;F;MG;BURITIS;TR RUA 5;31382550
198054;28/11/2021;72000.00;45.000;9;DEIZILANY ;11715944334;9431411;10/10/1963;solteiro;M;PR;PARAISO DO NORTE;R RUA 5;48976078
163222;25/01/2023;66400.00;45.000;33;GLAUCIA ;10230177077;8671732;16/04/1991;solteiro;F;MG;ABAETE;TR TRAVESSA PLANALTO 6;53030438
196090;01/05/2022;37067.46;45.000;0;ROSIVALDO ;10786159418;6620555;13/10/1952;casado;M;SP;SAO JOSE DO RIO PRETO;TR TRAVESSA PALOTINA  CASA 1;77628778
170304;28/01/2022;36360.00;45.000;29;GILZA ;10750642511;5569505;24/06/1961;solteiro;F;MT;CUIABA;TR TRAVESSA PLANALTO 6;21546838
171795;27/06/2022;64705.95;50.000;3;EZIO ;11065049755;9039466;08/06/1983;casado;M;PA;ANANINDEUA;R RUA 5;33646182
170637;15/04/2021;93600.00;45.000;5;FABIANA ;11094784606;7799345;01/10/1981;solteiro;F;RJ;RIO DE JANEIRO;TR RUA PALMAS, 0;66768893
115723;02/03/2022;58823.53;50.000;18;MARIA ;11670694608;8982408;13/01/1960;solteiro;F;RS;ERECHIM;TR TRAVESSA PLANALTO 6;63249583
185474;24/02/2024;54286.00;45.000;32;LUZIA ;10876148492;1234985;28/08/1983;divorciado;F;MT;BARRA DO GARCAS;TR TRAVESSA PALMAS, 0;54314269
126332;04/05/2024;87584.00;50.000;40;FERNANDA ;11880506718;7193268;11/07/1981;solteiro;M;RJ;CAMPOS DOS GOYTACAZES;TR RUA PALMAS, 1;70227793
128076;21/11/2021;70588.24;45.000;5;RINALDO ;11259560143;1623336;30/05/1995;solteiro;M;SP;GARCA;R RUA MARANHAO, 0;79442864
111405;22/11/2023;72755.00;45.000;32;ANA ;12104229932;1323891;28/09/1980;solteiro;M;PR;ROLANDIA;R RUA MARANHAO, 0;20728843
148284;04/04/2022;42068.00;45.000;13;HELIO ;12060837925;9587300;15/10/1968;solteiro;M;PR;GUARACI;R RUA MINAS GERAIS, 0;55714995
182730;06/12/2022;42500.00;45.000;34;ANNE ;11350607724;6181253;13/02/1979;solteiro;M;PR;PEABIRU;R R SANDRO FIALLA 4;64559068
127722;20/06/2022;66440.00;45.000;20;KATE ;10214461646;2402409;13/10/1965;solteiro;F;MG;PASSOS;TR TRAVESSA PLANALTO 6;14137001
121258;29/03/2024;45040.00;50.000;7;SHEILA ;11994601369;3539812;13/12/1988;casado;F;AL;MARECHAL DEODORO;TR TRAVESSA PLANALTO, 0;83413906
122480;19/03/2024;85600.00;71.600;20;ELAINE ;10176547572;4093453;14/04/1975;solteiro;M;PE;PAULISTA;R ARI NAZARE NEVES DA SILVA, 0;65056094
171612;02/04/2023;39265.00;50.000;45;FABRICIA ;11723487720;8475717;05/12/1968;casado;M;PE;BELO JARDIM;TR TRAVESSA PLANALTO,6;57076276
192374;12/04/2021;83065.81;45.000;5;LUCIANA ;10085548260;2075803;23/11/1984;solteiro;F;SP;SUMARE;TR RUA PALMAS, 0;71314909
143813;15/10/2023;45040.00;50.000;43;MARIANGELA ;11920692385;5057173;05/12/1978;solteiro;F;AL;MARECHAL DEODORO;R RUA 0;43302837
112949;02/04/2020;76010.53;50.000;26;JACQUELINE ;10192421830;7237616;28/04/1980;solteiro;M;GO;GOIANIA;R 1;31364195
173349;15/05/2020;62477.00;50.000;26;MICHELLE ;12041127815;1938984;02/09/1986;solteiro;F;SE;ARACAJU;R RUA 1;50815932
178402;05/08/2023;95634.20;66.600;6;LEILIANE ;10636152212;7196347;02/06/1994;solteiro;M;SP;JUNDIAI;R RUA 1;36347743
107491;13/05/2024;114494.21;55.000;13;LUIS ;10481153132;6601285;03/04/1983;solteiro;M;PR;CASCAVEL;R RUA PARAIBA, 4;76233250
115851;03/10/2020;83576.56;50.000;27;ROGERIO ;10362779206;5120920;06/10/1987;solteiro;F;MG;UBERABA;R R PARAIBA, 0;20145761
147417;01/08/2022;57751.00;50.000;23;CLEVERTON ;11887229250;5181343;29/10/1981;divorciado;M;SE;TOBIAS BARRETO;R R PARAIBA, 0;58541024
140028;17/06/2023;50040.00;45.000;17;IARA ;10163768763;8341235;30/06/1984;solteiro;M;PA;ANANINDEUA;R R PARAIBA, 0;40229985
176626;10/11/2022;66444.56;45.000;6;KAREN ;10604868321;1961307;05/04/1961;divorciado;M;RS;BENTO GONCALVES;R RUA BARCELONA COND RES. MAIORCA XXII, 0;63422523
155209;01/07/2021;57379.00;50.000;30;TARICK ;12029749923;2836836;08/12/1968;casado;M;SE;TOBIAS BARRETO;R RUA BARCELONA, 0;10723366
138438;08/05/2020;97643.06;55.000;41;ERIKA ;10470297601;4601317;22/07/1993;divorciado;M;RJ;RIO DE JANEIRO;R RUA PARAIBA, 0;86048479
152176;16/09/2020;89107.47;55.000;31;HARIANDERSON ;11596897232;1964065;14/09/1984;solteiro;F;SP;OURINHOS;R RUA VALENCIA N 1;60854039
149999;17/02/2022;108056.08;66.600;35;DEBORA ;11605780909;1576578;21/04/1961;solteiro;M;DF;BRASILIA;R RUA MAIORCA N 1;31968187
122122;09/06/2022;31800.00;45.000;33;DOMINGOS ;11615738965;9267601;21/05/1978;solteiro;F;MG;PATOS DE MINAS;R RUA PARAIBA, 0;44763668
153210;05/05/2021;55284.10;45.000;20;JUSSARA ;11344961327;4739763;24/09/1959;solteiro;M;PR;SERTANOPOLIS;R RUA PARAIBA, 4;70023443
141894;08/03/2020;44000.00;45.000;46;KATIA ;10379597313;9209313;05/04/2000;divorciado;M;PE;GLORIA DO GOITA;R RUA RIO SOLIMOES, 0;72298552
